epoch, state, cogni, num_in, num_out, num_con, generosity, spawn_investment, connection_willingness, received_rewards, maintenance, births, deaths, population_size, 
14, 0.0, 235.5, 0.5, 1.0, 1.5, 0.04338439527312128, 242.0, 6.5, 0.0, 0.0, 0, -1, 1, 
15, 2.5, 330.6464466094067, 1.0, 1.0, 2.0, 0.03307345738923005, 105.25, 5.0, 0.0, 0.25, 0, -2, 3, 
16, 2.0, 304.04289321881345, 1.0, 1.25, 2.25, 0.06169296686573163, 247.75, 5.25, 0.0, 1.0, 0, 0, 3, 
17, 3.25, 282.3964466094067, 0.5, 0.75, 1.25, 0.04455266226915287, 329.5, 2.25, 0.0, 0.5, 0, 0, 3, 
18, 2.0, 546.9514718625762, 0.4, 0.6, 1.0, 0.06466422561698873, 274.8, 6.2, 0.0, 0.8, 0, -1, 4, 
19, 2.0, 437.7238576250846, 0.6666666666666666, 1.5, 2.1666666666666665, 0.04788060107434633, 264.1666666666667, 7.666666666666667, 0.0, 0.8333333333333334, 0, -1, 5, 
20, 2.6, 407.50294372515225, 0.8, 1.2, 2.0, 0.057283473752218185, 226.6, 5.8, 0.0, 0.6, 0, 1, 4, 
21, 2.75, 486.77512626584706, 0.5, 0.5, 1.0, 0.04872523830733208, 125.5, 4.25, 0.0, 0.5, 0, 1, 3, 
22, 1.5, 191.5857864376269, 0.5, 0.0, 0.5, 0.03564661453559072, 190.5, 4.5, 0.0, 0.0, 0, 2, 1, 
23, 3.5, 175.5857864376269, 0.5, 0.0, 0.5, 0.015141261738080388, 224.5, 2.0, 0.0, 0.0, 0, 0, 1, 
24, 2.0, 139.37867965644034, 0.5, 0.0, 0.5, 0.0069524553592199495, 21.5, 0.5, 0.0, 0.0, 0, 0, 1, 
25, 0.0, 118.87867965644034, 0.5, 0.5, 1.0, 0.007414777408355753, 127.0, 2.5, 0.0, 0.5, 0, 0, 1, 
26, 0.0, 117.37867965644034, 0.5, 0.5, 1.0, 0.04927650119756339, 138.5, 1.5, 0.0, 1.0, 0, 0, 1, 
27, 1.5, 115.87867965644034, 0.5, 0.5, 1.0, 0.03015194412305778, 141.0, 4.0, 0.0, 0.0, 0, 0, 1, 
28, 1.5, 99.87867965644034, 0.5, 0.5, 1.0, 0.013286944298862426, 112.5, 3.5, 0.0, 0.0, 0, 0, 1, 
29, 0.5, 83.87867965644034, 1.0, 0.5, 1.5, 0.03669817452730838, 143.5, 4.0, 0.0, 0.0, 0, 0, 1, 
30, 1.5, 77.87867965644034, 1.0, 0.5, 1.5, 0.007806571771265381, 130.0, 3.0, 0.0, 0.5, 0, 0, 1, 
31, 2.5, 61.37867965644034, 1.0, 0.5, 1.5, 0.024190572260435, 9.0, 5.0, 0.0, 0.0, 0, 0, 1, 
32, 1.5, 35.171572875253794, 0.5, 0.5, 1.0, 0.014333170778085765, 188.5, 3.0, 0.0, 1.0, 0, 0, 1, 
33, 0.0, 17.171572875253794, 0.0, 0.0, 0.0, 0.02919523395134222, 112.0, 1.0, 0.0, 0.5, 0, 0, 1, 
34, 1.5, 379.0857864376269, 0.25, 1.0, 1.25, 0.052565576608800534, 54.5, 4.75, 0.0, 0.75, 0, -2, 3, 
35, 2.0, 492.8619288125423, 0.6666666666666666, 2.3333333333333335, 3.0, 0.04480017801444383, 166.33333333333334, 5.0, 0.0, 1.0, 0, 1, 2, 
36, 2.2857142857142856, 477.06337868769936, 1.7142857142857142, 1.4285714285714286, 3.142857142857143, 0.05255125490159496, 278.2857142857143, 7.571428571428571, 0.0, 1.0, 0, -4, 6, 
37, 0.8571428571428571, 450.4572871609681, 1.7142857142857142, 1.4285714285714286, 3.142857142857143, 0.049283747088377, 190.57142857142858, 4.571428571428571, 0.0, 0.8571428571428571, 0, 0, 6, 
38, 3.2857142857142856, 460.33894042886146, 1.0, 1.1428571428571428, 2.142857142857143, 0.0603512113833462, 209.42857142857142, 3.857142857142857, 0.0, 1.1428571428571428, 0, 0, 6, 
39, 1.8888888888888888, 348.54303351419907, 1.1111111111111112, 1.6666666666666667, 2.7777777777777777, 0.04414695375241577, 213.22222222222223, 4.666666666666667, 0.0, 0.8888888888888888, 0, -2, 8, 
40, 3.5, 394.2644660940672, 1.2, 1.7, 2.9, 0.04854491419931376, 180.4, 4.8, 0.0, 1.2, 0, -1, 9, 
41, 2.375, 426.955582617584, 1.625, 2.0, 3.625, 0.03880153941251744, 160.625, 3.125, 0.0, 0.625, 0, 2, 7, 
42, 4.2727272727272725, 456.7729568469947, 1.6363636363636365, 1.8181818181818181, 3.4545454545454546, 0.05817978307765421, 290.54545454545456, 5.545454545454546, 0.0, 1.1818181818181819, 0, -3, 10, 
43, 2.5833333333333335, 489.95016835446273, 1.1666666666666667, 1.3333333333333333, 2.5, 0.0546406770234453, 274.5, 6.166666666666667, 0.0, 0.9166666666666666, 0, -1, 11, 
44, 4.3, 503.8230447378299, 1.1, 1.0, 2.1, 0.04693805859005214, 283.8, 4.1, 0.0, 0.7, 0, 2, 9, 
45, 2.3333333333333335, 491.1748436809786, 1.2222222222222223, 1.4444444444444444, 2.6666666666666665, 0.0605415049484891, 208.11111111111111, 5.222222222222222, 0.0, 1.0, 0, 1, 8, 
46, 2.2, 465.4916738879315, 1.5, 1.6, 3.1, 0.049273738864323145, 243.7, 8.1, 0.0, 1.2, 0, -1, 9, 
47, 3.272727272727273, 490.71324282431357, 1.1818181818181819, 1.3636363636363635, 2.5454545454545454, 0.05070152533163517, 252.36363636363637, 6.636363636363637, 0.0, 1.1818181818181819, 0, -1, 10, 
48, 3.272727272727273, 410.94185360847365, 1.1818181818181819, 1.0, 2.1818181818181817, 0.037960408221367245, 224.27272727272728, 3.727272727272727, 0.0, 1.2727272727272727, 0, 0, 10, 
49, 3.3636363636363638, 381.0327626993827, 1.2727272727272727, 0.9090909090909091, 2.1818181818181817, 0.06193805160469957, 231.27272727272728, 6.454545454545454, 0.0, 1.0909090909090908, 0, 0, 10, 
50, 3.6363636363636362, 343.8977371199065, 1.5454545454545454, 1.3636363636363635, 2.909090909090909, 0.044896590829179024, 278.54545454545456, 4.909090909090909, 0.0, 0.5454545454545454, 0, 0, 10, 
51, 2.4166666666666665, 429.1538059222874, 1.5833333333333333, 1.25, 2.8333333333333335, 0.03925335519522986, 231.91666666666666, 7.333333333333333, 0.0, 0.9166666666666666, 0, -1, 11, 
52, 1.6363636363636365, 439.2119047674261, 1.7272727272727273, 1.4545454545454546, 3.1818181818181817, 0.05289373875564504, 217.45454545454547, 8.0, 0.0, 0.5454545454545454, 0, 1, 10, 
53, 3.5454545454545454, 375.51582710838136, 2.0, 2.0, 4.0, 0.042465386348129505, 274.6363636363636, 6.090909090909091, 0.0, 1.0909090909090908, 0, 0, 10, 
54, 2.1, 403.5916738879315, 1.7, 1.9, 3.6, 0.0504385289504994, 181.5, 6.0, 0.0, 0.9, 0, 1, 9, 
55, 3.6666666666666665, 353.06209716700505, 2.0, 1.1666666666666667, 3.1666666666666665, 0.04659819834142462, 47.833333333333336, 6.5, 0.0, 1.0, 0, 4, 5, 
56, 3.0, 313.3549903858185, 2.3333333333333335, 1.5, 3.8333333333333335, 0.0617780189909995, 187.16666666666666, 8.5, 0.0, 0.6666666666666666, 0, 0, 5, 
57, 2.25, 408.5857864376269, 1.5, 1.25, 2.75, 0.04554700188236062, 298.75, 7.0, 0.0, 1.5, 0, 2, 3, 
58, 1.2, 305.5857864376269, 1.0, 1.4, 2.4, 0.03891309444568534, 193.0, 5.0, 0.0, 0.8, 0, -1, 4, 
59, 2.5, 364.12867965644034, 1.0, 0.75, 1.75, 0.055329292346278605, 143.0, 2.25, 0.0, 0.5, 0, 1, 3, 
60, 2.0, 337.27512626584706, 1.25, 1.0, 2.25, 0.026682362816990608, 219.5, 5.5, 0.0, 0.75, 0, 0, 3, 
61, 2.25, 393.5857864376269, 1.5, 1.5, 3.0, 0.025183154249962883, 178.5, 6.75, 0.0, 1.25, 0, 0, 3, 
62, 5.0, 367.7322330470336, 1.75, 1.75, 3.5, 0.03662195706882149, 150.25, 3.75, 0.0, 1.5, 0, 0, 3, 
63, 2.5, 312.9215728752538, 1.75, 1.5, 3.25, 0.05728230138457141, 202.5, 6.75, 0.0, 1.0, 0, 0, 3, 
64, 3.0, 290.2322330470336, 1.0, 1.0, 2.0, 0.03683588888688001, 227.0, 4.25, 0.0, 0.75, 0, 0, 3, 
65, 3.0, 258.7322330470336, 1.0, 1.0, 2.0, 0.05115946641415367, 222.0, 3.25, 0.0, 0.75, 0, 0, 3, 
66, 0.0, 298.5857864376269, 0.0, 0.25, 0.25, 0.06627586536791406, 124.75, 2.0, 0.0, 0.75, 0, 0, 3, 
67, 1.5, 297.2322330470336, 0.5, 0.5, 1.0, 0.05441249598347856, 227.0, 8.5, 0.0, 0.75, 0, 0, 3, 
68, 0.75, 324.3964466094067, 0.25, 0.25, 0.5, 0.039410943860741704, 250.5, 1.75, 0.0, 0.75, 0, 0, 3, 
69, 1.0, 312.0, 0.6666666666666666, 1.0, 1.6666666666666667, 0.01818488870669065, 268.0, 5.666666666666667, 0.0, 0.6666666666666666, 0, 1, 2, 
70, 2.6666666666666665, 301.0, 1.0, 1.0, 2.0, 0.029240548341776505, 172.66666666666666, 3.6666666666666665, 0.0, 0.6666666666666666, 0, 0, 2, 
71, 1.0, 272.19526214587563, 1.3333333333333333, 1.0, 2.3333333333333335, 0.04203340627557406, 188.0, 3.6666666666666665, 0.0, 1.0, 0, 0, 2, 
72, 2.0, 259.39052429175126, 1.3333333333333333, 1.0, 2.3333333333333335, 0.03782015609792609, 225.33333333333334, 3.0, 0.0, 0.0, 0, 0, 2, 
73, 1.0, 264.2524531042936, 1.0, 1.0, 2.0, 0.0309597125422012, 199.66666666666666, 5.0, 0.0, 1.3333333333333333, 0, 0, 2, 
74, 2.3333333333333335, 250.6429773960448, 0.6666666666666666, 1.0, 1.6666666666666667, 0.051901707510622515, 28.0, 4.0, 0.0, 0.6666666666666666, 0, 0, 2, 
75, 3.6666666666666665, 224.97631072937816, 1.0, 1.3333333333333333, 2.3333333333333335, 0.028619661152151716, 203.0, 2.6666666666666665, 0.0, 1.3333333333333333, 0, 0, 2, 
76, 0.6666666666666666, 268.05719095841795, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.020986317143266913, 65.0, 3.0, 0.0, 0.6666666666666666, 0, 0, 2, 
77, 1.3333333333333333, 259.7810485835025, 0.6666666666666666, 0.3333333333333333, 1.0, 0.03990361466284418, 195.33333333333334, 4.333333333333333, 0.0, 0.3333333333333333, 0, 0, 2, 
78, 3.3333333333333335, 244.97631072937816, 0.6666666666666666, 0.3333333333333333, 1.0, 0.04694610636031041, 168.66666666666666, 6.0, 0.0, 0.3333333333333333, 0, 0, 2, 
79, 1.0, 286.7715728752538, 1.4, 1.2, 2.6, 0.03715510125649627, 206.2, 5.8, 0.0, 0.8, 0, -2, 4, 
80, 1.8, 274.68873016277917, 2.2, 1.4, 3.6, 0.042554037946355885, 144.4, 8.2, 0.0, 1.4, 0, 0, 4, 
81, 2.0, 252.32304473782992, 2.8, 1.8, 4.6, 0.047030885811168543, 128.4, 7.4, 0.0, 1.0, 0, 0, 4, 
82, 2.4, 227.07451660040607, 2.8, 1.6, 4.4, 0.0493416479508094, 215.0, 5.6, 0.0, 0.6, 0, 0, 4, 
83, 3.8, 199.19167388793144, 3.0, 1.8, 4.8, 0.058588071774962655, 177.2, 3.6, 0.0, 0.8, 0, 0, 4, 
84, 3.0, 156.79167388793144, 2.8, 1.8, 4.6, 0.04382930303096848, 189.8, 5.8, 0.0, 0.4, 0, 0, 4, 
