epoch, state, cogni, num_in, num_out, num_con, generosity, spawn_investment, connection_willingness, received_rewards, maintenance, births, deaths, population_size, 
0, 0.0, 500.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 0, 1, 
1, 0.0, 500.0, 0.0, 0.0, 0.0, 0.030174323843563756, 70.5, 6.0, 0.0, 0.5, 0, 0, 1, 
2, 0.5, 499.0, 0.0, 0.0, 0.0, 0.0429595205980138, 72.0, 0.0, 0.0, 1.0, 0, 0, 1, 
3, 0.0, 493.0, 0.0, 0.0, 0.0, 0.007580253009204783, 102.5, 5.5, 0.0, 1.0, 0, 0, 1, 
4, 3.5, 492.0, 0.0, 0.0, 0.0, 0.023434059105333666, 132.0, 5.5, 0.0, 0.5, 0, 0, 1, 
5, 0.0, 455.79289321881345, 0.0, 0.0, 0.0, 0.037109216739096076, 41.0, 4.5, 0.0, 0.5, 0, 0, 1, 
6, 3.0, 454.79289321881345, 0.0, 0.0, 0.0, 0.048227197750450986, 232.0, 4.0, 0.0, 1.0, 0, 0, 1, 
7, 2.3333333333333335, 282.52859547920895, 0.0, 0.0, 0.0, 0.022492130133105154, 130.0, 1.6666666666666667, 0.0, 1.0, 0, -1, 2, 
8, 2.6666666666666665, 258.19526214587563, 0.0, 0.0, 0.0, 0.031031204265800385, 68.0, 2.0, 0.0, 1.3333333333333333, 0, 0, 2, 
9, 2.6666666666666665, 230.39052429175126, 0.0, 0.0, 0.0, 0.0613281373885291, 76.66666666666667, 7.666666666666667, 0.0, 0.6666666666666666, 0, 0, 2, 
10, 1.6666666666666667, 202.11438191683587, 0.0, 0.0, 0.0, 0.0301483021662087, 145.0, 1.3333333333333333, 0.0, 0.3333333333333333, 0, 0, 2, 
11, 1.6666666666666667, 183.97631072937816, 0.0, 0.0, 0.0, 0.056629124708294405, 239.33333333333334, 4.333333333333333, 0.0, 0.0, 0, 0, 2, 
12, 2.0, 231.44771525016918, 0.0, 0.3333333333333333, 0.3333333333333333, 0.03642508089551474, 113.0, 3.0, 0.0, 1.0, 0, 0, 2, 
13, 2.0, 210.3096440627115, 0.0, 0.6666666666666666, 0.6666666666666666, 0.022177369582662223, 113.0, 3.3333333333333335, 0.0, 0.6666666666666666, 0, 0, 2, 
14, 2.3333333333333335, 189.3096440627115, 0.3333333333333333, 0.6666666666666666, 1.0, 0.015512531995314377, 219.0, 4.333333333333333, 0.0, 1.0, 0, 0, 2, 
15, 0.0, 239.0, 0.0, 0.0, 0.0, 0.03744683951698229, 65.0, 0.0, 0.0, 1.0, 0, 1, 1, 
16, 3.0, 238.0, 0.5, 0.0, 0.5, 0.022926638789246483, 114.5, 4.5, 0.0, 0.0, 0, 0, 1, 
17, 1.0, 294.3333333333333, 1.0, 0.0, 1.0, 0.02424200918675566, 294.0, 6.666666666666667, 0.0, 1.0, 0, -1, 2, 
18, 1.5, 328.0, 0.5, 0.5, 1.0, 0.04954677467954335, 272.75, 4.25, 0.0, 0.5, 0, -1, 3, 
19, 2.0, 261.8619288125423, 0.3333333333333333, 0.6666666666666666, 1.0, 0.017828283423334812, 46.0, 5.0, 0.0, 0.0, 0, 1, 2, 
20, 3.6666666666666665, 240.7238576250846, 0.3333333333333333, 0.6666666666666666, 1.0, 0.024591541878189276, 163.0, 1.0, 0.0, 0.3333333333333333, 0, 0, 2, 
21, 4.333333333333333, 202.5857864376269, 0.3333333333333333, 0.6666666666666666, 1.0, 0.04385137493266583, 135.33333333333334, 2.3333333333333335, 0.0, 0.6666666666666666, 0, 0, 2, 
22, 4.0, 157.78104858350252, 0.6666666666666666, 0.6666666666666666, 1.3333333333333333, 0.014827452237595662, 153.0, 4.333333333333333, 0.0, 1.0, 0, 0, 2, 
23, 2.0, 115.97631072937816, 1.0, 0.6666666666666666, 1.6666666666666667, 0.032838675760283945, 225.0, 4.0, 0.0, 1.3333333333333333, 0, 0, 2, 
24, 2.3333333333333335, 93.64297739604483, 1.0, 1.0, 2.0, 0.03559200572528893, 153.66666666666666, 3.6666666666666665, 0.0, 0.6666666666666666, 0, 0, 2, 
25, 3.0, 66.97631072937816, 0.3333333333333333, 0.6666666666666666, 1.0, 0.05215475074002932, 212.66666666666666, 2.3333333333333335, 0.0, 0.0, 0, 0, 2, 
