epoch, state, cogni, num_in, num_out, num_con, generosity, spawn_investment, connection_willingness, received_rewards, maintenance, births, deaths, population_size, 
0, 0.0, 500.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 0, 1, 
1, 0.0, 500.0, 0.0, 0.0, 0.0, 0.024054715499285225, 78.5, 0.5, 0.0, 1.0, 0, 0, 1, 
2, 1.5, 499.0, 0.0, 1.0, 1.0, 0.035275153842533664, 172.5, 4.0, 0.0, 1.0, 0, 0, 1, 
3, 2.0, 483.0, 0.0, 1.0, 1.0, 0.025895555550376703, 9.0, 0.0, 0.0, 1.0, 0, 0, 1, 
4, 3.5, 461.79289321881345, 0.0, 1.5, 1.5, 0.011906260860207015, 61.5, 2.5, 0.0, 1.0, 0, 0, 1, 
5, 2.5, 425.79289321881345, 0.0, 2.0, 2.0, 0.02784680586024139, 206.0, 2.5, 0.0, 1.0, 0, 0, 1, 
6, 0.5, 399.79289321881345, 0.0, 2.0, 2.0, 0.006414690067927157, 121.0, 4.5, 0.0, 1.0, 0, 0, 1, 
7, 0.5, 393.79289321881345, 0.5, 2.0, 2.5, 0.030663733984581665, 182.0, 4.5, 0.0, 1.0, 0, 0, 1, 
8, 1.5, 387.79289321881345, 0.5, 2.5, 3.0, 0.02117194113224641, 8.5, 0.5, 0.0, 0.5, 0, 0, 1, 
9, 0.5, 371.0857864376269, 1.0, 2.5, 3.5, 0.015259053132847405, 96.5, 3.5, 0.0, 0.0, 0, 0, 1, 
10, 2.0, 365.0857864376269, 1.0, 2.5, 3.5, 0.020022882593482737, 155.0, 2.0, 0.0, 1.0, 0, 0, 1, 
11, 0.5, 342.0857864376269, 1.0, 2.5, 3.5, 0.01874609912672047, 210.0, 6.0, 0.0, 1.0, 0, 0, 1, 
12, 2.5, 333.87867965644034, 1.0, 2.0, 3.0, 0.029772485793184554, 32.5, 0.0, 0.0, 0.5, 0, 0, 1, 
13, 1.5, 306.6715728752538, 1.5, 1.0, 2.5, 0.01886554617345847, 166.0, 5.0, 0.0, 0.0, 0, 0, 1, 
14, 2.0, 290.6715728752538, 1.5, 1.5, 3.0, 0.023076124939065166, 209.5, 5.5, 0.0, 0.5, 0, 0, 1, 
15, 3.5, 268.6715728752538, 1.5, 1.5, 3.0, 0.013597837209230353, 35.0, 0.5, 0.0, 0.0, 0, 0, 1, 
16, 2.0, 232.46446609406723, 1.5, 1.0, 2.5, 0.01763741855846798, 191.0, 1.5, 0.0, 1.0, 0, 0, 1, 
17, 1.0, 208.96446609406723, 2.0, 1.0, 3.0, 0.019564422754659205, 133.5, 6.0, 0.0, 1.0, 0, 0, 1, 
18, 2.0, 194.75735931288068, 2.0, 0.5, 2.5, 0.009589100806259472, 27.0, 2.5, 0.0, 0.0, 0, 0, 1, 
19, 1.5, 173.75735931288068, 2.5, 0.5, 3.0, 0.015739686719253607, 241.0, 5.0, 0.0, 0.0, 0, 0, 1, 
20, 0.0, 241.0, 0.0, 0.5, 0.5, 0.023955408040727058, 177.0, 2.5, 0.0, 0.5, 0, 0, 1, 
21, 1.5, 239.79289321881345, 0.0, 1.0, 1.0, 0.013923835887346234, 62.0, 2.0, 0.0, 0.5, 0, 0, 1, 
22, 1.0, 223.5857864376269, 0.5, 1.5, 2.0, 0.04335667446588174, 83.5, 3.5, 0.0, 0.0, 0, 0, 1, 
23, 0.5, 213.0857864376269, 1.0, 1.5, 2.5, 0.03171540130464731, 156.0, 4.0, 0.0, 0.5, 0, 0, 1, 
24, 3.0, 206.5857864376269, 1.0, 1.5, 2.5, 0.013236617867063937, 58.5, 1.0, 0.0, 1.0, 0, 0, 1, 
25, 3.5, 174.0857864376269, 0.5, 1.5, 2.0, 0.03482591810550369, 182.5, 0.5, 0.0, 1.0, 0, 0, 1, 
26, 0.5, 136.0857864376269, 0.5, 2.0, 2.5, 0.0494819495337962, 31.5, 1.5, 0.0, 0.0, 0, 0, 1, 
27, 3.5, 130.0857864376269, 0.5, 2.0, 2.5, 0.01794801319355107, 95.0, 6.0, 0.0, 0.5, 0, 0, 1, 
28, 1.5, 93.5857864376269, 0.5, 2.0, 2.5, 0.046003099374656645, 18.5, 1.0, 0.0, 0.0, 0, 0, 1, 
29, 0.5, 77.37867965644034, 0.0, 2.0, 2.0, 0.018154189002064173, 101.5, 0.0, 0.0, 0.5, 0, 0, 1, 
30, 3.5, 70.67157287525379, 0.0, 2.0, 2.0, 0.029143116833761595, 131.5, 1.0, 0.0, 1.0, 0, 0, 1, 
31, 3.5, 34.46446609406724, 0.0, 2.0, 2.0, 0.04841189535755945, 120.0, 3.5, 0.0, 0.5, 0, 0, 1, 
32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1, 0, 
33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
