epoch, state, cogni, num_in, num_out, num_con, generosity, spawn_investment, connection_willingness, received_rewards, maintenance, births, deaths, population_size, 
5, 0.0, 500.0, 0.0, 1.0, 1.0, 0.03559644686766692, 104.0, 3.0, 0.0, 1.0, 0, -1, 1, 
6, 0.5, 498.79289321881345, 0.5, 0.5, 1.0, 0.04006666961286817, 130.0, 5.0, 0.0, 0.5, 0, 0, 1, 
7, 1.5, 492.79289321881345, 1.0, 0.5, 1.5, 0.026717606131909318, 18.5, 6.0, 0.0, 1.0, 0, 0, 1, 
8, 2.0, 475.79289321881345, 1.0, 0.5, 1.5, 0.023418124461548038, 28.0, 1.5, 0.0, 1.0, 0, 0, 1, 
9, 3.5, 453.29289321881345, 1.0, 0.5, 1.5, 0.008076782887832095, 165.0, 3.0, 0.0, 1.0, 0, 0, 1, 
10, 0.5, 415.29289321881345, 1.0, 1.0, 2.0, 0.006043645180055704, 176.5, 2.0, 0.0, 0.0, 0, 0, 1, 
11, 3.0, 409.29289321881345, 1.5, 1.0, 2.5, 0.0185472091652747, 217.5, 4.0, 0.0, 0.5, 0, 0, 1, 
12, 3.0, 377.29289321881345, 1.5, 1.0, 2.5, 0.03164142201390979, 171.5, 5.0, 0.0, 0.5, 0, 0, 1, 
13, 1.0, 344.5857864376269, 1.5, 1.0, 2.5, 0.016845033114738384, 25.5, 1.0, 0.0, 1.0, 0, 0, 1, 
14, 3.5, 330.5857864376269, 1.5, 1.0, 2.5, 0.01767571669437218, 164.0, 5.5, 0.0, 0.0, 0, 0, 1, 
15, 3.5, 294.37867965644034, 1.5, 1.0, 2.5, 0.017370711999779385, 217.0, 0.0, 0.0, 0.0, 0, 0, 1, 
16, 0.0, 258.87867965644034, 1.0, 0.5, 1.5, 0.049741145436642896, 208.5, 1.5, 0.0, 0.0, 0, 0, 1, 
17, 1.5, 257.87867965644034, 1.5, 0.5, 2.0, 0.036077517362440394, 130.5, 5.0, 0.0, 1.0, 0, 0, 1, 
18, 2.0, 239.6715728752538, 1.5, 0.0, 1.5, 0.010205386561058676, 55.5, 2.5, 0.0, 1.0, 0, 0, 1, 
19, 1.0, 215.46446609406723, 1.5, 0.0, 1.5, 0.02385782009147462, 211.0, 0.5, 0.0, 1.0, 0, 0, 1, 
20, 2.5, 201.46446609406723, 1.5, 0.0, 1.5, 0.030064522425755056, 191.0, 0.0, 0.0, 0.0, 0, 0, 1, 
21, 2.5, 175.25735931288068, 1.0, 0.0, 1.0, 0.04519013081694341, 246.0, 1.0, 0.0, 1.0, 0, 0, 1, 
22, 0.0, 246.0, 0.5, 1.5, 2.0, 0.04975720105646208, 114.5, 3.5, 0.0, 1.0, 0, 0, 1, 
23, 2.5, 245.0, 0.5, 1.5, 2.0, 0.00894693172252669, 83.0, 0.0, 0.0, 1.0, 0, 0, 1, 
24, 2.5, 218.5, 1.0, 0.5, 1.5, 0.01197651861026585, 83.5, 4.5, 0.0, 0.0, 0, 0, 1, 
25, 3.0, 192.5, 1.0, 1.0, 2.0, 0.007383424754075727, 115.5, 1.0, 0.0, 0.0, 0, 0, 1, 
26, 0.5, 161.29289321881345, 1.5, 1.0, 2.5, 0.046617120354986386, 52.0, 4.5, 0.0, 0.0, 0, 0, 1, 
27, 2.0, 155.0857864376269, 2.0, 2.0, 4.0, 0.011244092680316904, 39.5, 6.5, 0.0, 0.0, 0, 0, 1, 
28, 2.5, 133.87867965644034, 2.5, 1.5, 4.0, 0.03560427550811797, 231.5, 4.5, 0.0, 1.0, 0, 0, 1, 
29, 0.0, 231.5, 0.0, 1.0, 1.0, 0.015549417052607244, 67.5, 6.0, 0.0, 0.0, 0, 0, 1, 
30, 2.5, 230.29289321881345, 0.5, 2.0, 2.5, 0.04568303868020771, 226.5, 5.5, 0.0, 1.0, 0, 0, 1, 
31, 0.0, 226.5, 0.0, 0.5, 0.5, 0.00551774969373709, 198.5, 3.0, 0.0, 0.0, 0, 0, 1, 
32, 2.5, 225.5, 0.0, 1.0, 1.0, 0.012901415659565606, 31.5, 3.0, 0.0, 1.0, 0, 0, 1, 
33, 3.0, 199.29289321881345, 0.5, 1.0, 1.5, 0.016045344364937833, 73.0, 4.5, 0.0, 1.0, 0, 0, 1, 
34, 2.5, 168.0857864376269, 0.0, 1.0, 1.0, 0.037693574046262286, 6.0, 6.5, 0.0, 0.5, 0, 0, 1, 
35, 0.5, 142.5857864376269, 0.0, 1.0, 1.0, 0.027137225774019245, 162.5, 2.5, 0.0, 1.0, 0, 0, 1, 
36, 1.5, 136.5857864376269, 0.0, 1.0, 1.0, 0.03446625252287666, 101.5, 0.5, 0.0, 1.0, 0, 0, 1, 
37, 2.5, 120.37867965644034, 0.0, 1.0, 1.0, 0.021525264593158146, 101.0, 1.5, 0.0, 0.0, 0, 0, 1, 
38, 0.5, 94.17157287525379, 0.0, 2.0, 2.0, 0.040296596707078504, 11.5, 2.0, 0.0, 0.5, 0, 0, 1, 
39, 2.0, 87.96446609406723, 0.0, 1.5, 1.5, 0.04227857632703937, 158.0, 3.0, 0.0, 1.0, 0, 0, 1, 
40, 1.0, 67.46446609406723, 0.5, 1.0, 1.5, 0.04512586708619111, 198.0, 6.5, 0.0, 0.0, 0, 0, 1, 
41, 2.5, 56.964466094067234, 1.0, 1.0, 2.0, 0.00684815791179075, 223.5, 6.5, 0.0, 1.0, 0, 0, 1, 
42, 3.0, 29.964466094067234, 1.5, 0.5, 2.0, 0.031735359917306624, 216.5, 4.5, 0.0, 1.0, 0, 0, 1, 
43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1, 0, 
44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
50, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
54, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
60, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
61, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
62, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
