epoch, state, cogni, num_in, num_out, num_con, generosity, spawn_investment, connection_willingness, received_rewards, maintenance, births, deaths, population_size, 
2, 0.0, 500.0, 0.0, 0.0, 0.0, 0.02373221432326964, 142.5, 2.0, 0.0, 0.5, 0, -1, 1, 
3, 1.5, 498.79289321881345, 0.5, 0.0, 0.5, 0.03286214351642918, 108.0, 3.5, 0.0, 1.0, 0, 0, 1, 
4, 1.5, 482.79289321881345, 0.5, 0.0, 0.5, 0.03235072819930968, 248.0, 6.0, 0.0, 1.0, 0, 0, 1, 
5, 0.3333333333333333, 310.39052429175126, 0.3333333333333333, 0.6666666666666666, 1.0, 0.04239950563317574, 163.0, 2.0, 0.0, 0.6666666666666666, 0, -1, 2, 
6, 2.3333333333333335, 305.7238576250846, 0.3333333333333333, 0.6666666666666666, 1.0, 0.03265782786390011, 62.333333333333336, 3.6666666666666665, 0.0, 1.0, 0, 0, 2, 
7, 1.3333333333333333, 280.9191197709602, 0.6666666666666666, 1.0, 1.6666666666666667, 0.04656819610838558, 75.66666666666667, 3.6666666666666665, 0.0, 1.0, 0, 0, 2, 
8, 3.6666666666666665, 265.5857864376269, 0.6666666666666666, 1.0, 1.6666666666666667, 0.04695683367510187, 127.0, 3.0, 0.0, 0.3333333333333333, 0, 0, 2, 
9, 3.3333333333333335, 227.25245310429355, 0.6666666666666666, 1.0, 1.6666666666666667, 0.0356574992665567, 226.66666666666666, 2.0, 0.0, 0.3333333333333333, 0, 0, 2, 
10, 0.3333333333333333, 192.11438191683587, 0.6666666666666666, 1.3333333333333333, 2.0, 0.012377630824950176, 167.33333333333334, 3.3333333333333335, 0.0, 0.6666666666666666, 0, 0, 2, 
11, 3.3333333333333335, 186.78104858350252, 0.6666666666666666, 1.3333333333333333, 2.0, 0.02731031965199904, 294.3333333333333, 6.666666666666667, 0.0, 0.6666666666666666, 0, 0, 2, 
12, 0.6666666666666666, 246.52859547920897, 0.0, 1.0, 1.0, 0.0363181388059287, 92.0, 5.666666666666667, 0.0, 0.3333333333333333, 0, 0, 2, 
13, 1.25, 294.6464466094067, 0.25, 1.25, 1.5, 0.032208778700374786, 170.0, 3.75, 0.0, 0.25, 0, -1, 3, 
14, 1.25, 280.8964466094067, 0.75, 2.0, 2.75, 0.0240808409563725, 245.5, 5.75, 0.0, 0.5, 0, 0, 3, 
15, 0.75, 266.54289321881345, 0.75, 2.0, 2.75, 0.06776860526489312, 78.5, 4.0, 0.0, 0.5, 0, 0, 3, 
16, 2.25, 257.54289321881345, 1.0, 1.75, 2.75, 0.04850788958347777, 234.75, 6.5, 0.0, 0.75, 0, 0, 3, 
17, 2.5, 232.68933982822017, 1.0, 1.75, 2.75, 0.03452712458058133, 218.25, 2.5, 0.0, 0.25, 0, 0, 3, 
18, 1.5, 206.0857864376269, 1.0, 1.75, 2.75, 0.020256371503260862, 241.25, 3.25, 0.0, 1.5, 0, 0, 3, 
19, 0.75, 254.43933982822017, 0.5, 0.75, 1.25, 0.04339039884060796, 171.5, 1.0, 0.0, 0.75, 0, 0, 3, 
20, 3.25, 244.73223304703362, 0.5, 1.0, 1.5, 0.0528729267767754, 136.25, 2.75, 0.0, 1.0, 0, 0, 3, 
21, 1.75, 210.02512626584706, 0.75, 0.75, 1.5, 0.01939450561827817, 207.25, 2.75, 0.0, 0.75, 0, 0, 3, 
22, 2.25, 190.5680194846605, 1.0, 1.0, 2.0, 0.04608512776360846, 247.0, 3.0, 0.0, 1.25, 0, 0, 3, 
