epoch, state, cogni, num_in, num_out, num_con, generosity, spawn_investment, connection_willingness, received_rewards, maintenance, births, deaths, population_size, 
2, 0.0, 500.0, 0.0, 0.0, 0.0, 0.021232993787831035, 129.0, 4.0, 0.0, 0.0, 0, -1, 1, 
3, 2.5, 499.0, 0.0, 0.0, 0.0, 0.02697970023343865, 211.0, 2.0, 0.0, 1.0, 0, 0, 1, 
4, 0.0, 472.79289321881345, 0.0, 0.0, 0.0, 0.011490095190768788, 217.0, 3.0, 0.0, 0.5, 0, 0, 1, 
5, 3.5, 471.5857864376269, 0.0, 0.0, 0.0, 0.03792466322624713, 145.5, 5.5, 0.0, 0.5, 0, 0, 1, 
6, 1.0, 435.37867965644034, 0.0, 0.5, 0.5, 0.022856886657543457, 245.5, 1.0, 0.0, 0.0, 0, 0, 1, 
7, 0.3333333333333333, 282.9191197709602, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.035585752136511196, 234.66666666666666, 7.333333333333333, 0.0, 1.0, 0, -1, 2, 
8, 2.3333333333333335, 278.2524531042936, 0.6666666666666666, 0.3333333333333333, 1.0, 0.030040570873206024, 130.66666666666666, 6.0, 0.0, 1.3333333333333333, 0, 0, 2, 
9, 3.0, 252.78104858350252, 0.6666666666666666, 0.3333333333333333, 1.0, 0.008432580851200876, 81.0, 2.3333333333333335, 0.0, 0.3333333333333333, 0, 0, 2, 
10, 2.0, 220.6429773960448, 0.6666666666666666, 0.3333333333333333, 1.0, 0.05388356467371519, 173.66666666666666, 7.0, 0.0, 0.3333333333333333, 0, 0, 2, 
11, 3.0, 198.6429773960448, 0.6666666666666666, 0.3333333333333333, 1.0, 0.041181599742778845, 65.66666666666667, 5.333333333333333, 0.0, 1.0, 0, 0, 2, 
12, 1.75, 243.48223304703362, 0.75, 0.5, 1.25, 0.04628701428290252, 197.0, 4.5, 0.0, 0.25, 0, -1, 3, 
13, 3.0, 141.6429773960448, 1.3333333333333333, 0.3333333333333333, 1.6666666666666667, 0.04269906128600056, 100.66666666666667, 4.333333333333333, 0.0, 0.3333333333333333, 0, 1, 2, 
14, 1.6666666666666667, 109.50490620858712, 1.0, 0.0, 1.0, 0.036718738879096637, 217.66666666666666, 5.333333333333333, 0.0, 0.0, 0, 0, 2, 
15, 3.3333333333333335, 91.36683502112942, 0.6666666666666666, 0.0, 0.6666666666666666, 0.016388401934656856, 78.33333333333333, 3.0, 0.0, 1.3333333333333333, 0, 0, 2, 
16, 2.75, 162.6715728752538, 0.75, 0.25, 1.0, 0.046184691628231335, 221.0, 7.0, 0.0, 0.25, 0, -1, 3, 
