epoch, state, cogni, num_in, num_out, num_con, generosity, spawn_investment, connection_willingness, received_rewards, maintenance, births, deaths, population_size, 
0, 0.0, 500.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 0, 1, 
1, 0.0, 500.0, 0.0, 0.0, 0.0, 0.030241760220936793, 110.5, 1.5, 0.0, 1.0, 0, 0, 1, 
2, 1.5, 499.0, 0.0, 0.0, 0.0, 0.0450630568062031, 72.0, 2.0, 0.0, 0.5, 0, 0, 1, 
3, 1.3333333333333333, 655.1952621458756, 0.0, 0.3333333333333333, 0.3333333333333333, 0.04529471121749012, 204.0, 6.333333333333333, 0.0, 0.3333333333333333, 0, -1, 2, 
4, 3.3333333333333335, 475.8619288125423, 0.6666666666666666, 0.3333333333333333, 1.0, 0.02721129831510118, 107.33333333333333, 6.0, 0.0, 0.6666666666666666, 0, 0, 2, 
5, 3.0, 440.9191197709602, 0.6666666666666666, 0.3333333333333333, 1.0, 0.015875502518372674, 81.0, 2.6666666666666665, 0.0, 1.0, 0, 0, 2, 
6, 0.3333333333333333, 408.4477152501692, 0.6666666666666666, 0.6666666666666666, 1.3333333333333333, 0.029033834128566388, 127.66666666666667, 4.333333333333333, 0.0, 1.0, 0, 0, 2, 
7, 3.3333333333333335, 402.64297739604484, 0.6666666666666666, 0.6666666666666666, 1.3333333333333333, 0.020919367888320658, 96.0, 4.666666666666667, 0.0, 1.3333333333333333, 0, 0, 2, 
8, 3.6666666666666665, 366.5049062085871, 0.6666666666666666, 0.3333333333333333, 1.0, 0.02585516694341965, 271.6666666666667, 5.666666666666667, 0.0, 0.0, 0, 0, 2, 
9, 0.0, 328.22876383367174, 1.0, 0.3333333333333333, 1.3333333333333333, 0.0502051560512953, 79.66666666666667, 4.0, 0.0, 0.6666666666666666, 0, 0, 2, 
10, 1.6666666666666667, 326.090692646214, 1.3333333333333333, 0.3333333333333333, 1.6666666666666667, 0.021033991215458608, 13.0, 2.6666666666666665, 0.0, 0.0, 0, 0, 2, 
11, 4.0, 307.9526214587563, 1.6666666666666667, 0.3333333333333333, 2.0, 0.046737943356413604, 262.3333333333333, 4.0, 0.0, 0.0, 0, 0, 2, 
12, 2.3333333333333335, 266.81455027129863, 2.3333333333333335, 0.3333333333333333, 2.6666666666666665, 0.010510660897702051, 269.3333333333333, 6.333333333333333, 0.0, 0.6666666666666666, 0, 0, 2, 
13, 1.0, 239.87174122971655, 2.0, 0.3333333333333333, 2.3333333333333335, 0.03167500280612132, 213.0, 4.666666666666667, 0.0, 0.6666666666666666, 0, 0, 2, 
14, 3.0, 285.5502525316941, 1.75, 0.75, 2.5, 0.027143416272716946, 119.0, 4.0, 0.0, 0.5, 0, -1, 3, 
15, 2.25, 253.69669914110085, 2.0, 1.0, 3.0, 0.02917528593857326, 128.25, 4.25, 0.0, 0.75, 0, 0, 3, 
16, 3.75, 227.09314575050757, 2.75, 1.5, 4.25, 0.013900007695639673, 280.25, 8.5, 0.0, 1.5, 0, 0, 3, 
17, 1.6666666666666667, 292.52859547920895, 1.0, 2.3333333333333335, 3.3333333333333335, 0.035866825921918165, 164.33333333333334, 4.333333333333333, 0.0, 0.3333333333333333, 0, 1, 2, 
18, 1.0, 226.0, 0.0, 1.5, 1.5, 0.017269571144159775, 125.0, 4.5, 0.0, 1.0, 0, 1, 1, 
19, 3.0, 215.5, 0.0, 1.0, 1.0, 0.015164872174240809, 154.5, 1.0, 0.0, 1.0, 0, 0, 1, 
20, 2.0, 184.29289321881345, 0.5, 1.0, 1.5, 0.04084191756921396, 115.5, 5.0, 0.0, 0.5, 0, 0, 1, 
21, 2.5, 163.0857864376269, 0.5, 1.0, 1.5, 0.04606242953002836, 16.5, 3.0, 0.0, 1.0, 0, 0, 1, 
22, 2.5, 136.0857864376269, 1.0, 1.0, 2.0, 0.014976234563754843, 222.5, 3.5, 0.0, 0.5, 0, 0, 1, 
23, 2.0, 109.5857864376269, 1.0, 1.0, 2.0, 0.006508876517450298, 79.5, 4.0, 0.0, 1.0, 0, 0, 1, 
24, 2.0, 86.5857864376269, 1.5, 1.0, 2.5, 0.038898390301483766, 129.0, 5.5, 0.0, 0.5, 0, 0, 1, 
25, 2.5, 64.5857864376269, 2.0, 0.5, 2.5, 0.033882354689342746, 212.5, 6.5, 0.0, 0.0, 0, 0, 1, 
26, 3.5, 38.58578643762689, 2.0, 0.5, 2.5, 0.04268601253553568, 48.5, 0.5, 0.0, 1.0, 0, 0, 1, 
27, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1, 0, 
28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
39, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
40, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
50, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
54, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
60, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
61, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
62, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
63, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
64, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
65, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
66, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
67, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
68, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
69, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
70, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
72, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
73, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
74, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
76, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
77, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
78, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
79, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
80, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
81, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
82, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
83, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
86, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
87, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
88, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
89, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
90, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
91, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
92, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
93, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
94, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
95, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
97, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
98, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
99, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
100, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 
