epoch, state, cogni, num_in, num_out, num_con, generosity, spawn_investment, connection_willingness, received_rewards, maintenance, births, deaths, population_size, 
4, 0.0, 500.0, 0.0, 0.0, 0.0, 0.025814197735008086, 43.0, 3.0, 0.0, 0.5, 0, -1, 1, 
5, 1.6666666666666667, 495.3333333333333, 0.3333333333333333, 0.6666666666666666, 1.0, 0.04773277345012774, 121.0, 4.333333333333333, 0.0, 0.6666666666666666, 0, -1, 2, 
6, 1.3333333333333333, 477.3333333333333, 0.3333333333333333, 1.0, 1.3333333333333333, 0.04394819391479402, 31.666666666666668, 6.333333333333333, 0.0, 0.6666666666666666, 0, 0, 2, 
7, 3.0, 462.6666666666667, 0.3333333333333333, 1.0, 1.3333333333333333, 0.03845895062197869, 65.0, 5.0, 0.0, 0.6666666666666666, 0, 0, 2, 
8, 1.3333333333333333, 431.3333333333333, 1.0, 0.6666666666666666, 1.6666666666666667, 0.04105258775086845, 193.0, 8.0, 0.0, 0.3333333333333333, 0, 0, 2, 
9, 3.3333333333333335, 416.52859547920895, 1.0, 0.6666666666666666, 1.6666666666666667, 0.03945318751687727, 225.0, 5.333333333333333, 0.0, 0.6666666666666666, 0, 0, 2, 
10, 3.5, 374.0, 0.5, 0.5, 1.0, 0.015953140941495084, 231.5, 4.0, 0.0, 1.0, 0, 1, 1, 
11, 3.5, 336.79289321881345, 0.5, 0.5, 1.0, 0.03770257247421367, 105.0, 3.5, 0.0, 0.5, 0, 0, 1, 
12, 1.5, 300.29289321881345, 0.5, 0.5, 1.0, 0.009693025746279078, 221.0, 5.5, 0.0, 1.0, 0, 0, 1, 
13, 2.0, 283.29289321881345, 1.0, 0.5, 1.5, 0.04136081781892807, 210.5, 6.0, 0.0, 0.0, 0, 0, 1, 
14, 2.0, 262.29289321881345, 1.5, 0.5, 2.0, 0.03880257033399952, 52.0, 3.5, 0.0, 1.0, 0, 0, 1, 
15, 2.5, 239.79289321881345, 1.0, 0.5, 1.5, 0.017962524495515796, 63.0, 2.0, 0.0, 0.0, 0, 0, 1, 
16, 1.5, 213.5857864376269, 0.5, 0.5, 1.0, 0.02206793845339977, 115.0, 2.0, 0.0, 0.0, 0, 0, 1, 
17, 3.0, 197.5857864376269, 0.5, 0.0, 0.5, 0.008689359621142463, 12.5, 1.5, 0.0, 1.0, 0, 0, 1, 
18, 3.0, 165.37867965644034, 1.0, 0.0, 1.0, 0.021010529330919344, 27.0, 5.0, 0.0, 0.0, 0, 0, 1, 
19, 2.5, 134.1715728752538, 1.0, 0.0, 1.0, 0.044360755006182424, 73.0, 4.0, 0.0, 1.0, 0, 0, 1, 
20, 3.5, 106.17157287525379, 1.0, 0.5, 1.5, 0.025411092784745837, 94.0, 1.0, 0.0, 0.5, 0, 0, 1, 
21, 0.0, 69.17157287525379, 1.0, 0.5, 1.5, 0.017271026495840506, 94.0, 3.5, 0.0, 1.0, 0, 0, 1, 
22, 0.5, 66.17157287525379, 1.0, 0.5, 1.5, 0.027107582487044174, 137.0, 4.5, 0.0, 1.0, 0, 0, 1, 
23, 1.5, 59.67157287525379, 1.0, 0.5, 1.5, 0.027284505671777374, 91.0, 0.5, 0.0, 1.0, 0, 0, 1, 
24, 1.0, 42.17157287525379, 1.0, 1.0, 2.0, 0.03816559214869158, 17.0, 0.5, 0.0, 0.0, 0, 0, 1, 
25, 1.0, 30.96446609406724, 1.0, 1.0, 2.0, 0.030498742064188233, 122.0, 1.0, 0.0, 0.5, 0, 0, 1, 
