epoch, state, cogni, num_in, num_out, num_con, generosity, spawn_investment, connection_willingness, received_rewards, maintenance, births, deaths, population_size, 
7, 0.0, 500.0, 0.5, 0.0, 0.5, 0.018281311975075, 116.5, 5.0, 0.0, 0.5, 0, -1, 1, 
8, 2.5, 499.0, 0.5, 0.5, 1.0, 0.034300124981223507, 105.5, 2.0, 0.0, 1.0, 0, 0, 1, 
9, 2.5, 472.0, 0.5, 1.0, 1.5, 0.03213962331834218, 206.0, 3.0, 0.0, 0.0, 0, 0, 1, 
10, 2.0, 445.79289321881345, 1.0, 1.0, 2.0, 0.038296191550141356, 233.0, 5.5, 0.0, 1.0, 0, 0, 1, 
11, 2.3333333333333335, 282.39052429175126, 1.0, 1.0, 2.0, 0.057188517948905525, 97.0, 5.0, 0.0, 0.6666666666666666, 0, -1, 2, 
12, 3.0, 256.7238576250846, 1.3333333333333333, 1.6666666666666667, 3.0, 0.03832745185208686, 250.66666666666666, 3.6666666666666665, 0.0, 0.6666666666666666, 0, 0, 2, 
13, 2.3333333333333335, 223.91911977096024, 1.3333333333333333, 1.6666666666666667, 3.0, 0.05298097970624096, 250.66666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0, 0, 2, 
14, 0.3333333333333333, 198.11438191683587, 1.3333333333333333, 2.0, 3.3333333333333335, 0.019719048746631676, 194.0, 3.3333333333333335, 0.0, 0.0, 0, 0, 2, 
15, 3.3333333333333335, 193.3096440627115, 1.3333333333333333, 1.6666666666666667, 3.0, 0.051783613937297385, 97.33333333333333, 4.0, 0.0, 0.6666666666666666, 0, 0, 2, 
16, 2.0, 157.97631072937816, 1.6666666666666667, 1.6666666666666667, 3.3333333333333335, 0.02420629677499239, 255.33333333333334, 3.0, 0.0, 0.0, 0, 0, 2, 
17, 1.6666666666666667, 136.50490620858713, 2.0, 2.3333333333333335, 4.333333333333333, 0.022715869699544085, 240.66666666666666, 4.333333333333333, 0.0, 0.3333333333333333, 0, 0, 2, 
18, 2.0, 118.17157287525379, 1.6666666666666667, 1.6666666666666667, 3.3333333333333335, 0.029313643129528767, 188.33333333333334, 7.0, 0.0, 0.0, 0, 0, 2, 
19, 0.0, 251.5857864376269, 0.6666666666666666, 1.0, 1.6666666666666667, 0.05458179210109162, 142.66666666666666, 7.0, 0.0, 0.6666666666666666, 0, 0, 2, 
20, 2.3333333333333335, 248.78104858350252, 1.0, 0.6666666666666666, 1.6666666666666667, 0.015138051051209925, 253.33333333333334, 8.333333333333334, 0.0, 0.3333333333333333, 0, 0, 2, 
21, 3.6666666666666665, 223.97631072937816, 1.0, 0.6666666666666666, 1.6666666666666667, 0.0319568383340143, 74.66666666666667, 3.3333333333333335, 0.0, 0.6666666666666666, 0, 0, 2, 
22, 2.0, 184.83823954192044, 0.6666666666666666, 0.3333333333333333, 1.0, 0.04861156512238186, 126.33333333333333, 1.3333333333333333, 0.0, 1.3333333333333333, 0, 0, 2, 
