epoch, state, cogni, num_in, num_out, num_con, generosity, spawn_investment, connection_willingness, received_rewards, maintenance, births, deaths, population_size, 
0, 0.0, 833.3333333333334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5, 0, 5, 
1, 0.0, 775.8888888888889, 0.0, 0.0, 0.0, 0.025594741555497114, 186.88888888888889, 4.111111111111111, 0.0, 0.3333333333333333, 3, 0, 8, 
2, 1.6363636363636365, 680.8337793522958, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.043262032851809455, 148.36363636363637, 3.727272727272727, 0.0, 0.7272727272727273, 2, 0, 10, 
3, 1.7272727272727273, 715.2130132500462, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 0.04517033334842016, 183.36363636363637, 5.363636363636363, 0.0, 1.0909090909090908, 1, 1, 10, 
4, 2.142857142857143, 687.775561741162, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.03020304934212695, 214.42857142857142, 4.357142857142857, 0.0, 0.5714285714285714, 3, 0, 13, 
5, 2.2142857142857144, 671.8296588349393, 0.42857142857142855, 0.42857142857142855, 0.8571428571428571, 0.04228139194382195, 146.71428571428572, 5.357142857142857, 0.0, 0.8571428571428571, 1, 1, 13, 
6, 1.5, 640.7389730661203, 0.3888888888888889, 0.3888888888888889, 0.7777777777777778, 0.0439742410932111, 217.11111111111111, 4.5, 0.0, 0.5555555555555556, 4, 0, 17, 
7, 2.611111111111111, 601.137393781412, 0.5555555555555556, 0.5555555555555556, 1.1111111111111112, 0.04583699524707536, 220.83333333333334, 5.722222222222222, 0.0, 1.1666666666666667, 1, 1, 17, 
8, 2.3333333333333335, 583.4837799793539, 0.7142857142857143, 0.7142857142857143, 1.4285714285714286, 0.047590196941411374, 217.0952380952381, 3.380952380952381, 0.0, 0.8571428571428571, 3, 0, 20, 
9, 2.8518518518518516, 524.3149083450719, 0.8518518518518519, 0.8518518518518519, 1.7037037037037037, 0.04493221653464921, 219.59259259259258, 5.62962962962963, 0.0, 0.5925925925925926, 6, 0, 26, 
